youtube_video_id,comment_text
v-PjgYDrg70,Hooo
lcOqUE0u1LM,"Merveilleux  film, je l'ai vu depuis des années mais ses événements ont resté gravés dans ma mémoire"
0hu12MP7b1U,Its a perfect film.
t2QcA-KoF5s,Kevin Spacey - winning Oscar Best Actor for this movie and he deserved it 100%
5Pp64srMAH4,Just finished it and i said to myself after seeing Kevin spacey in the movie that what if he's the soze in the end seeing that he's shown weak like that just a thought came in mind in the start but loved how they end it with these 2 lines amazing work 🙌 #theusualsuspects
xgIHRczRE1Q,"I held off watching this movie because the ending got spoiled for me and i can't even remember where or when that happened. Nevertheless, I'll watch it now."
15s4Y9ffW_o,What a trailer!!
yuzXPzgBDvo,"RM Same old scene, usual deception"
a-tLJ-OXN9I,Thanks to Palmemtieri.
OXc0-EME0C8,Greatest mystery thriller of all time
znmZoVkCjpI,"*SPOILER ALERT*
I watched this movie with my mom once. We both love mysteries and she told me this movie was one of her favorites so we sat down to watch it, and within 5 minutes I turned to her and said, ""it's him, its kevin spacey right?."" 
She just looked at me in shock with her jaw dropped and said, ""how the hell did you know that?.""
I told her, ""it's always the one you least expect."" 
She couldn't believe it. 
Good times 🤣"
oiXdPolca5w,His name was CAT BRANCHMAN
6hsIc9reo7k,⭐⭐⭐⭐Must Watch
SgbbmwHpoAA,is it just me or anyone else thought that kint was soze from start
jPt_INy_CtM,One of the best movies - and endings - ever made.... a masterpiece of story telling
7YnfJEgTBGA,This is like by far the greatest movie ever...
jNuIn4T-CLk,Whos shit
jL4l_tyPC0Y,"So much atmosphere tension, dock scenes fabulous,acting at its very best."
3n1O-sKecdA,That narrator's voice was nostalgic.
bdqnz-FtIog,It's a shame that director turned out to be a pedo...and that story of Kevin Spacey on set. Man...Bryan Singer and Kevin Spacey 2 talents with some horrifying pasts
KLUdKoCganU,"Together with Black Panther, this is another overrated movie."
nMft5QDOHek,Bollywood tried to copy this one too🤣🤣🤣
T5IligQP7Fo,10/10
q7vg8uGzLts,"Seems like everyone had this movie spoiled one way or another. I got it spoiled when i walked into the living room where my grandpa was watching it and TV was playing the last few minutes of the movie. I didn't think about it or care, but years later i was watching the movie and immediately remembered the scene and realized it was from the end. I realized what the twist was. Still enjoyed it, great movie. They don't make them like this anymore. 90's had some great thrillers. Like The Game and 7even."
P7FcPlt8hHc,"I've had plenty of films spoiled for me in my time, but this is the only movie I've ever been actively angry about having spoiled. Once it's spoiled, it's impossible to forget. A brilliant ending"
WPsbUcvKzxQ,Kevin spacey is k…. S…… for those who came for trailer 🥺
Xm12NSa8jsM,"you know what would have been a great ending (I don't hate the actual ending this is just my opinion ) 
the cripple  guy walk out of the police station and got into a taxi then the taxi blows up not far from the  police station ...so at the final time the police thought that kaiser soze is that oldish guy with a lawyer girl friend so the cripple dyeing in a taxi they will fig it was him ...he finally killed him for some reason and they would close the case on  the cripple guy ...after that he will walk free with out no search on his back from the cops ...
' The greatest trick the devil ever pulled was convincing the world he didn`t exist""  Right ????😅"
KtEIMC58sZo,This movie is the biggest mindfuck ever.
ROLvjRB4E_Q,"Lots of people do believe the devil exists!  If only ""he"" didn't!"
gC1lO7lqMuw,"Just saw this movie, no one could have predicted the ending"
I3ItZQb-GLM,"And he showed those Men of Will, what WILL really was!"
4FJiTCAmD4k,sucks that i got spoiled who keyser soze is when i didnt even know the name of this movie.
G3_vC5kSU6A,"I’m very open minded when it comes to movies / genres etc 
But I see no redeeming qualities in this movie at all whatsoever…. It was boring and pointless - plain and simple !"
PZM-vG8DcRc,"I sat through the movie to see how the officers were going to connect the dots & identify the real thing but alas that never happened! 


Nevertheless a very interesting watch."
SFnK1abzS9E,Переведите на русский
OS4XqN-LaO4,9:25 pm March 27th 2022
SB2FI3kqVgY,I’m about to watch this movie for the first time
46qKHq7REI4,「
